Country_ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ARG,,0.0027145568288504817,0.002704078981820983,0.002888301659006065,,,,0.003701504429136822,,0.004002903627400086,,,,0.0036862329893109728,0.0035856424134475553,0.0037525471793782104,0.0036588272753296327,,0.0043598914547657,0.004444461218284987,0.004510780189072363,0.00428431346779726
AUS,,0.0006549187688575537,,,,,,,0.0007730146916150106,,,,0.0007847972574637479,0.0008999660410860643,0.0009753173829110597,0.0010727087928340943,0.0009774570596879162,0.00080985628427969,0.0009284719213160395,0.0009499426361922684,0.0008625467343393506,0.0007765927033136568
AUT,0.020368920516936475,0.019650405225349464,0.019436090028289426,0.01912049501329284,,,,,,,,,0.021929214784611215,0.022687774738862233,0.022435659095518704,0.022814117843343393,0.023770839902276672,0.024034762105413207,0.024645055696562307,0.024198632346241453,0.024233156119672875,0.024015503779796932
BEL,,,,,,,,,,,,,0.060823113510895886,0.061619006454561434,0.06503040204285714,0.06893780280789948,0.0688401700492611,0.07127912620393559,0.06970785469458987,0.0677725080056066,0.06689462001139532,
BGD,0.05121529002666665,0.011990053006248736,0.012508365550201654,0.012790280100289481,0.013104084722304966,0.013941723599535424,0.015568178010333906,0.01667150168206154,0.017088674139116546,0.016048244858492555,0.01713599796554898,0.018519852450913907,0.018821445592485577,0.02186753021301977,0.023506830676798283,0.024765752164852016,0.025264184114293715,0.028223313148806006,0.028160990226729094,0.030424721720223768,0.03160607422193588,0.03493071381280981
BGR,0.007674194851441241,0.0037448833883857217,0.004087499126637554,0.004241663153969099,0.004426977987394958,0.004192743928,0.003899883465989848,0.0035762898440887952,0.0034814678404971517,0.00359264030429989,0.00357925728866555,0.0036765470856494607,0.003710054501734103,0.004241906833333333,0.004045209661157024,0.003881606062593959,0.0037309045840589416,0.0035106518598953837,,,,
BLR,,,,,,,,,,,,,,,,,,,,0.013841088681949014,0.014733056864958691,
BRA,,,,,,,,,0.005704399486874968,,,0.00573615459753149,0.0058788964685666046,0.006106413173959,0.006127474537868328,0.00593327692343998,0.005823443512684067,0.0059503886694199475,0.006158691475331787,0.006346281122049432,0.0062282830005423685,0.006099061065164639
BRN,0.08479115400000001,0.07417632863108004,0.08630776561725892,0.08394118739156886,0.06608510995331213,0.05085180062501406,0.04247047012549166,0.03532304616258944,0.024177980255039082,0.025199937318570658,0.022372374395331577,0.029995473597698788,0.027753473229439902,0.01826641988038771,0.024015467549600357,0.02445839286645461,0.04152033459198658,0.04732142954964447,0.04267449878009971,0.04250755605142918,0.06420911450422362,0.11555678622821511
BTN,0.00033994560987654323,0.00033258962322883594,0.0002972599376053484,0.0003027790146550694,0.00033642387071433123,0.00036981215763030753,0.0003570221880377091,0.00035651176192939653,0.00042074657850542173,0.0003963250458878459,0.0003931712017221457,0.00036738033120696804,0.0005567291858714591,0.00038896765160357225,0.0004689740761833147,0.00049105003257652,0.0005184914895726928,0.0005525555129380305,0.0005781072957797621,0.000603033465060241,0.0006476154554959823,0.0006493899115605105
CAN,,,0.005356061369731534,,,,,,,,,,,0.0048541356363913084,0.005095006672850241,,,0.005925476021965391,,,,
CHE,,,,,,,,0.019910272049781012,,,,,,,,,,,,,,
