Country_ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ARE,,,,0.021876990155555553,0.022041059711111116,0.013030542688888888,,,0.02361551828888889,0.025556973488888895,,,0.025187439377777773,,,,,,0.03211942175555555,,,
ARG,0.005122945507760088,0.004524261381417469,0.004506798303034971,0.004813836098343441,0.005528025015237329,0.005816427147597505,0.00577715959772363,0.00616917404856137,0.006123376143781529,0.006671506045666811,0.005464678746318704,0.00535490249482804,0.005627475752808844,0.00614372164885162,0.005976070689079258,0.006254245298963685,0.006098045458882722,0.006628995633140495,0.007266485757942834,0.00740743536380831,0.00751796698178727,0.007140522446328766
ATG,,,,,,,,,,,,0.009910029379744379,,,,,,,,,,
AUS,0.0010503526407227243,0.0010915312814292562,0.0011089528756640028,0.0010689931243212923,0.0012449355472228098,0.001197683407251335,0.0012452134256907966,0.001277936675030559,0.001288357819358351,0.0012993273374520436,0.0013073405871127804,0.0012500824315259463,0.0013079954291062466,0.0014999434018101072,0.0016255289715184325,0.0017878479880568238,0.0016290950994798604,0.0013497604737994833,0.0015474532021933988,0.0015832377269871143,0.0014375778905655846,0.0012943211721894283
AUT,0.03394820086156078,0.03275067537558243,0.03239348338048238,0.03186749168882141,0.031500066434584466,0.03135110866548193,0.03290517918632827,0.03336438073481329,0.034707000844929344,0.035203141575199916,0.03545107987857189,0.03561108342136345,0.036548691307685365,0.037812957898103725,0.03739276515919784,0.03802352973890566,0.03961806650379445,0.04005793684235535,0.041075092827603854,0.040331053910402426,0.040388593532788127,
AZE,,,,,,,,,,,,,,,,,,,0.016635891255254262,0.017136990261615914,,
BEL,0.1265350416962525,0.10669343477416222,0.11065313121261557,0.10198271586056643,0.1018651056781988,0.09887460302222223,0.10252125440178075,0.10509234046485258,0.1055367978735632,0.09915688640320733,0.10676553153713297,0.10617785304042178,0.10137185585149315,0.10269834409093571,0.1083840034047619,0.11489633801316582,0.11473361674876849,0.11879854367322601,0.1161797578243165,,,
BEN,,,,,,,,,,,,,,,,,,,,,0.009798130411671485,
BFA,0.0026601755488888886,0.002479855752946603,0.0024989554177749025,0.0033854394929893825,0.0032601363339353393,0.003446999637222701,0.0033735034063415393,0.0034921484193779872,0.004074887644969329,0.004352648881111112,0.0044484480244444445,0.004399647657478691,0.004646893159999999,0.004740665224204722,0.0038423487686715845,0.003675247071974454,0.0032812807500539466,0.0033070707248992774,0.003359930924289477,0.004415649838738498,0.0041325289050450536,0.004132356678731589
BGR,,,,,,0.006987906546666665,0.006499805776649745,,,,,,0.00618342416955684,,,,,,,,,0.0056138769816272945
